Product Name,Price (PKR),Price (USD),Product Link,Image URL
"MATEIN Carry on Backpack, Extra Large Travel Backpack Expandable Airplane Approved Weekender Bag for Men and Women, Water Resistant Lightweight Daypack for Flight 40L, Black",N/A,"MATEIN Carry on Backpack, Extra Large Travel Backpack Expandable Airplane Approved Weekender Bag for Men and Women, Water Resistant Lightweight Daypack for Flight 40L, Black",/Backpack-Expandable-Weekender-Resistant-Lightweight/dp/B07P1SFHK3/ref=sr_1_4?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-4,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,1 sustainability feature,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/816eG81cCSL._AC_UY218_.jpg
"YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpacks Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",N/A,"YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpacks Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",/Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_5?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-5,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,Delivery,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/815WusBCkxL._AC_UY218_.jpg
"Carry On Backpack, 50L Travel Backpack, Luggage Backpack TSA Flight Approved Laptop Backpack for Men & Women, Large Expandable Backpack 40L Daypack Lightweight Business Weekender Bag, Black",N/A,"Carry On Backpack, 50L Travel Backpack, Luggage Backpack TSA Flight Approved Laptop Backpack for Men & Women, Large Expandable Backpack 40L Daypack Lightweight Business Weekender Bag, Black",/Gieury-Backpack-Expandable-Lightweight-Weekender/dp/B0BDLH7K67/ref=sr_1_6?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-6,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,1 sustainability feature,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/91PZvsucnpL._AC_UY218_.jpg
ZOMAKE Lightweight Packable Backpack 30L - Foldable Hiking Backpacks Water Resistant Compact Folding Daypack for Travel(Dimgray),N/A,Sponsored,/sspa/click?ie=UTF8&spc=MTo2MzgzMjk3NDY4NTE5NzAzOjE3MjcyNTMyMzM6c3BfbXRmOjMwMDE0NzA3MjAyODcwMjo6MDo6&url=%2FZOMAKE-Lightweight-Packable-Backpack-Resistant%2Fdp%2FB07H9ZR4LS%2Fref%3Dsr_1_7_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd%26dib%3DeyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE%26dib_tag%3Dse%26keywords%3Dtravel%2Bbackpack%26pd_rd_r%3De82b5c2a-0af3-444a-b19b-0e0fccce123f%26pd_rd_w%3D8BMah%26pd_rd_wg%3DQSUHD%26pf_rd_p%3D1faf5a75-f10d-481a-9299-d0fe2e7649bd%26pf_rd_r%3DG1X99QSCDB5MC6WENGRX%26qid%3D1727253233%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A
N/A,N/A,Delivery,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/812dMsurRlL._AC_UY218_.jpg
"MATEIN Travel Laptop Backpack, 17 inch Business Flight Approved Carry on Backpack, TSA Large Computer Backpack for Men Women with USB Port and Trolley Sleeve, College School Tactical Book Bag, Grey",N/A,"MATEIN Travel Laptop Backpack, 17 inch Business Flight Approved Carry on Backpack, TSA Large Computer Backpack for Men Women with USB Port and Trolley Sleeve, College School Tactical Book Bag, Grey",/MATEIN-Backpack-Business-Approved-Rucksack/dp/B07QN9NPKN/ref=sr_1_8?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-8,N/A
N/A,N/A,Delivery,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/711Pk4nn5WL._AC_UY218_.jpg
"LOVEVOOK Large Travel Backpack for Women & Men, 40L Carry on Backpack for Airplanes, TSA Personal Item Travel Bag fits 17"" Laptop, Waterproof Travel Essentials Airline Approved with 3 Packing Cubes",N/A,"LOVEVOOK Large Travel Backpack for Women & Men, 40L Carry on Backpack for Airplanes, TSA Personal Item Travel Bag fits 17"" Laptop, Waterproof Travel Essentials Airline Approved with 3 Packing Cubes",/LOVEVOOK-Backpack-Airplanes-Waterproof-Essentials/dp/B0C6LJWNJK/ref=sr_1_9?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-9,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,1 sustainability feature,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/71olG7l8KlL._AC_UY218_.jpg
